gem_key,land,ew_BSW,ew_AfD,ew_FDP,ew_Die Linke,ew_SPD,ew_CDU,ew_GRÜNE,ew_CSU,ew_FREIE WÄHLER,ew_valid,btw_BSW,btw_AfD,btw_FDP,btw_Die Linke,btw_SPD,btw_CDU,btw_GRÜNE,btw_CSU,btw_FREIE WÄHLER,btw_valid,swing_BSW,swing_AfD,swing_FDP,swing_Die Linke,swing_SPD,swing_CDU,swing_GRÜNE,swing_CSU,swing_FREIE WÄHLER,swing_z
10_41_513,10,11.98598505656048,23.34912424833138,10.877015589983909,2.59772299704923,31.993009542606305,46.21212489487577,8.309675318046366,0.0,2.172364845485613,6582.688,6.126288238180925,20.211025682970718,6.044495337804678,6.527073450024538,21.92049730083429,27.95681334860134,6.5352527400621625,0.0,1.3414035661704564,12226,-5.859696818379555,-3.138098565360661,-4.832520252179231,3.9293504529753083,-10.072512241772017,-18.25531154627443,-1.774422577984204,0.0,-0.8309612793151566,-1.4865051295083895
10_41_514,10,7.00351774864087,12.631915574032618,5.340582027502398,1.726894787336105,22.401662935721138,30.220658778381836,6.9875279820914615,0.0,1.9827310521266388,6254.0,5.848670756646217,18.418541240627132,4.335378323108385,6.339468302658487,23.65371506475801,28.425357873210633,8.07089297886844,0.0,1.5269256987048399,7335,-1.1548469919946527,5.786625666594514,-1.0052037043940132,4.6125735153223815,1.2520521290368727,-1.795300905171203,1.0833649967769778,0.0,-0.45580535342179895,0.25023204723079573
10_41_515,10,8.419609269989806,16.90604083577318,5.468291205773802,2.2608210076824475,21.53905334412736,35.9503951369406,6.426077445481637,0.0,1.637146246942462,8979.039,5.818806776331941,20.94279400932973,4.083803911940421,7.283738440134218,20.88550617890171,30.19068663556756,6.0397741222685974,0.0,1.358539978721663,12219,-2.6008024936578646,4.036753173556551,-1.3844872938333816,5.02291743245177,-0.6535471652256497,-5.759708501373041,-0.3863033232130393,0.0,-0.27860626822079904,-0.28352455889209127
10_41_516,10,7.258632840028188,17.181113460183226,3.819591261451727,1.6067653276955602,19.929527836504583,30.739957716701905,5.271317829457364,0.0,2.7061310782241015,7095.0,6.11660903779659,23.476809347800167,3.67235006557768,5.9139143913199,22.522952187909862,26.552998688446404,6.021223321807559,0.0,2.3131036127339932,8387,-1.1420238022315976,6.29569588761694,-0.14724119587404694,4.30714906362434,2.593424351405279,-4.186959028255501,0.7499054923501953,0.0,-0.39302746549010825,0.25496556927882913
10_41_517,10,7.517084282460136,13.31308529486206,5.16324981017464,2.239939255884586,22.070361933687675,29.347000759301444,7.858769931662871,0.0,1.1389521640091116,7902.0,5.770430442919526,18.621334996880847,4.897067997504679,6.924516531503431,22.988147223955085,28.269910584321067,8.234560199625701,0.0,0.9877313370763153,9618,-1.7466538395406097,5.308249702018788,-0.2661818126699611,4.684577275618845,0.9177852902674104,-1.077090174980377,0.37579026796283,0.0,-0.15122082693279626,0.03177386227069666
10_41_518,10,8.513647291755056,21.750813180596804,4.143685475887428,2.10719841606562,18.964785744590582,25.32880780653373,4.2002545608824775,0.0,3.8325555084146514,7071.0,6.8935041979672995,28.501988510826337,3.7229341581970834,7.213875386654883,21.210782147591694,22.71321254971277,4.529385771100309,0.0,1.9885108263367213,9052,-1.6201430937877568,6.7511753302295325,-0.42075131769034435,5.1066769705892625,2.2459964030011115,-2.61559525682096,0.32913121021783187,0.0,-1.8440446820779302,0.07847374080322855
10_41_519,10,8.982683982683982,19.59511077158136,3.8770053475935833,2.7820218996689587,20.91291061879297,24.509803921568626,4.51362363127069,0.0,1.8143621084797557,15708.0,7.660216134707213,26.750439808997236,3.6290525257602417,8.615229957275696,22.563458155315406,21.62854988690626,4.418195526514199,0.0,1.1409901985423474,19895,-1.3224678479767693,7.155329037415875,-0.24795282183334155,5.833208057606738,1.650547536522435,-2.8812540346623656,-0.09542810475649066,0.0,-0.6733719099374083,0.18835687949464047
10_42_111,10,13.92066914164069,23.381976548504884,6.273626775160847,2.746831182637992,32.114186789607146,41.89765340924987,6.205803782996946,0.0,1.5938403158516745,5897.705,6.599035757332262,22.99116110887907,4.660506227400562,7.091201285656891,21.63519485737244,26.84813177983126,4.921655283246284,0.0,1.4664523905182805,9956,-7.321633384308428,-0.3908154396258148,-1.6131205477602846,4.344370103018899,-10.478991932234706,-15.04952162941861,-1.2841484997506623,0.0,-0.12738792533339405,-2.0261609480308693
10_42_112,10,10.836035892285041,19.662642051797445,5.9836352042562995,1.6670824449669293,26.30120250229075,45.368457966600005,5.95386587488189,0.0,1.9498910740238191,6718.324,6.236907255760808,20.91982479527709,4.532470005713198,6.265473243191773,20.834126832984193,30.91792039611503,5.3799276328318415,0.0,1.2854694343934487,10502,-4.599128636524234,1.257182743479646,-1.4511651985431016,4.598390798224843,-5.467075669306556,-14.450537570484975,-0.5739382420500485,0.0,-0.6644216396303704,-1.0211819617071238
10_42_113,10,14.678257725037172,23.04426058478058,7.691487587056516,3.0906893838041234,27.564519650995734,46.00798203252392,9.251933367153061,0.0,2.3557697583392994,9933.059,7.763224464556749,21.220979256844117,4.530889875765923,7.836303333520715,19.759401877564787,27.61819101692057,6.914385294282983,0.0,1.1748833548822306,17789,-6.915033260480423,-1.8232813279364635,-3.1605977112905927,4.745613949716592,-7.805117773430947,-18.38979101560335,-2.337548072870078,0.0,-1.1808864034570687,-1.876069536577372
