gem_key,z25_valid,z25_BSW,z25_Die Linke,z25_AfD,z25_SPD,z25_CDU,z25_FDP,z25_GRÜNE,z21_valid,z21_Die Linke,z21_AfD,z21_SPD,z21_CDU,z21_FDP,z21_GRÜNE,z17_valid,z17_Die Linke,z17_AfD,z17_SPD,z17_CDU,z17_FDP,z17_GRÜNE,z13_valid,z13_Die Linke,z13_AfD,z13_SPD,z13_CDU,z13_FDP,z13_GRÜNE,land,deficit
09_71_175,3874,3.4073309241094476,4.439855446566856,21.29581827568405,12.854930304594733,0.0,3.0975735673722253,7.795560144553433,3831.0,2.3492560689115116,9.997389715478986,19.47272252675542,0.0,8.248499086400418,10.258418167580267,3696,5.925324675324675,12.770562770562771,17.47835497835498,0.0,7.224025974025975,6.764069264069264,3340,3.922155688622755,3.6526946107784433,21.407185628742514,0.0,4.131736526946108,6.796407185628743,09,-89.15241170643235
09_71_176,820,1.4634146341463417,3.7804878048780486,24.51219512195122,8.414634146341465,0.0,3.536585365853658,6.219512195121951,787.0,2.0330368487928845,11.689961880559085,12.960609911054638,0.0,9.529860228716645,8.259212198221093,663,4.374057315233785,15.233785822021115,11.010558069381599,0.0,9.502262443438914,5.731523378582202,611,3.764320785597381,2.7823240589198037,17.18494271685761,0.0,4.909983633387888,5.564648117839607,09,-31.299837691447216
09_71_177,2024,3.260869565217391,5.484189723320158,25.197628458498023,9.140316205533598,0.0,4.397233201581028,7.954545454545454,1925.0,2.3376623376623376,10.909090909090908,16.935064935064936,0.0,10.649350649350648,11.064935064935066,1767,6.451612903225806,14.148273910582908,13.129598189020939,0.0,7.357102433503113,8.205998868138087,1470,4.6938775510204085,5.442176870748299,17.27891156462585,0.0,3.2653061224489797,9.319727891156463,09,-44.509179689416804
09_71_178,1150,3.0434782608695654,2.869565217391304,25.565217391304344,8.26086956521739,0.0,2.3478260869565215,3.6521739130434785,1094.0,0.3656307129798903,12.431444241316271,16.087751371115175,0.0,6.855575868372943,5.393053016453382,1068,2.9962546816479403,15.262172284644196,16.666666666666664,0.0,4.962546816479401,3.838951310861423,917,1.5267175572519083,2.2900763358778624,18.3206106870229,0.0,3.0534351145038165,4.362050163576881,09,-23.147889246738362
09_71_179,1011,3.857566765578635,4.747774480712167,27.398615232443124,13.452027695351138,0.0,2.274975272007913,5.242334322453017,963.0,3.011422637590862,15.160955347871235,20.66458982346833,0.0,9.44963655244029,8.203530633437175,908,7.3788546255506615,15.52863436123348,17.62114537444934,0.0,8.590308370044053,7.599118942731277,785,3.4394904458598727,5.605095541401274,22.29299363057325,0.0,4.45859872611465,7.643312101910828,09,-24.274371836317197
09_71_180,4798,3.1679866611087952,6.085869112130053,16.861192163401416,13.588995414756146,0.0,3.8349312213422264,14.401834097540641,4418.0,2.7840651878678133,8.148483476686282,22.38569488456315,0.0,8.035310095065642,16.27433227704844,4267,8.179048511835013,9.350831966252636,18.701663932505273,0.0,6.936958050152333,11.272556831497539,3863,4.038312192596428,3.2617136940201914,23.246181724048668,0.0,4.633704374838208,12.39968936060057,09,-135.89769243045538
09_71_181,1332,2.5525525525525525,4.57957957957958,20.72072072072072,13.063063063063062,0.0,4.72972972972973,9.75975975975976,1362.0,2.936857562408223,9.32452276064611,21.43906020558003,0.0,9.030837004405285,12.922173274596183,1300,6.769230769230769,13.0,18.69230769230769,0.0,9.153846153846153,9.538461538461538,1141,4.294478527607362,5.433829973707274,24.101665205959684,0.0,7.975460122699387,6.748466257668712,09,-46.54178912835475
09_71_183,1078,4.081632653061225,6.029684601113173,21.057513914656774,12.244897959183673,0.0,3.6178107606679033,9.183673469387756,1032.0,3.2945736434108532,10.174418604651162,17.344961240310077,0.0,9.593023255813954,12.112403100775193,991,7.467204843592332,13.420787083753785,15.136226034308779,0.0,5.852674066599395,8.779011099899092,881,4.0862656072644725,3.9727582292849033,22.92849035187287,0.0,3.745743473325766,8.39954597048808,09,-17.29091763094037
09_71_185,4960,2.439516129032258,3.951612903225806,24.939516129032256,7.076612903225807,0.0,3.2661290322580645,6.895161290322581,4880.0,1.762295081967213,14.077868852459016,13.913934426229508,0.0,7.9303278688524586,7.397540983606557,4762,4.052918941621168,16.33767324653507,11.885762284754305,0.0,7.496850062998741,4.703905921881563,4247,2.7784318342359313,3.9086413939251234,13.562514716270307,0.0,3.673181068989875,5.06239698610784,09,-129.1899720159296
09_71_186,1313,3.57958872810358,3.427265803503427,29.3983244478294,7.387661843107388,0.0,2.513328255902513,5.483625285605483,1244.0,1.929260450160772,16.318327974276528,14.067524115755628,0.0,8.038585209003216,6.270096463022508,1215,4.279835390946502,16.790123456790123,15.22633744855967,0.0,6.91358024691358,5.432098765432099,1066,3.6585365853658534,2.8142589118198873,17.636022514071296,0.0,3.377110694183865,4.596622889305816,09,-23.965066602768207
09_71_188,421,2.8503562945368173,1.9002375296912115,20.42755344418052,8.076009501187649,0.0,2.6128266033254155,7.8384798099762465,423.0,1.6548463356973995,10.401891252955082,13.47517730496454,0.0,10.401891252955082,9.692671394799055,421,5.225653206650831,11.87648456057007,9.97624703087886,0.0,9.73871733966746,9.501187648456057,395,5.3164556962025316,3.0379746835443036,15.949367088607595,0.0,5.822784810126582,6.582278481012659,09,-15.751959872770383
09_71_189,2058,2.4295432458697768,4.178814382896015,24.198250728862973,5.150631681243926,0.0,2.9640427599611274,6.41399416909621,1994.0,2.156469408224674,12.88866599799398,10.732196589769307,0.0,6.720160481444333,7.2718154463390166,1932,4.3478260869565215,13.509316770186336,9.472049689440993,0.0,6.884057971014493,6.418219461697723,1711,2.6300409117475163,3.0391583869082406,11.805961426066627,0.0,3.389830508474576,5.376972530683811,09,-54.47756717881099
09_71_190,3386,2.923803898405198,4.695806261075015,20.407560543414057,13.290017720023627,0.0,2.805670407560543,10.661547548730065,3277.0,2.2581629539212695,10.344827586206897,21.238938053097346,0.0,7.659444613976198,12.877631980469943,3182,6.819610307982401,13.356379635449404,21.3073538654934,0.0,5.688246385920805,9.365179132620993,2794,4.151753758052971,4.044380816034359,23.62204724409449,0.0,4.867573371510379,9.520400858983537,09,-104.67028284565436
09_71_191,4835,2.5853154084798344,4.756980351602896,20.43433298862461,10.031023784901757,0.0,4.322647362978283,11.685625646328852,4697.0,2.1290185224611453,10.645092612305728,17.26634021715989,0.0,9.005748350010645,12.923142431339151,4599,5.32724505327245,14.242226570993694,15.307675581648184,0.0,9.328114807566863,9.045444661883018,3898,3.7711646998460746,5.566957414058492,17.36788096459723,0.0,5.310415597742432,7.927142124166239,09,-129.7697042262394
09_71_192,514,3.8910505836575875,4.085603112840467,18.09338521400778,13.229571984435799,0.0,4.085603112840467,9.33852140077821,497.0,2.2132796780684103,8.249496981891348,18.91348088531187,0.0,10.865191146881289,10.261569416498995,484,6.8181818181818175,8.057851239669422,18.801652892561986,0.0,4.958677685950414,9.297520661157025,347,4.322766570605188,5.187319884726225,24.207492795389047,0.0,2.881844380403458,6.051873198847262,09,-12.419614153405865
09_71_193,6420,4.049844236760125,6.993769470404984,17.305295950155763,15.358255451713395,0.0,4.080996884735202,11.635514018691588,6205.0,3.94842868654311,8.235294117647058,24.383561643835616,0.0,9.99194198227236,13.585817888799356,6264,9.27522349936143,10.057471264367816,20.849297573435503,0.0,9.243295019157088,10.424648786717752,5662,6.375838926174497,4.221123277993642,27.26951607205934,0.0,5.192511480042388,9.501942776404098,09,-131.02625366925224
09_71_194,902,1.9955654101995564,6.430155210643015,20.73170731707317,9.645232815964523,0.0,1.5521064301552108,8.314855875831485,838.0,3.4606205250596656,11.097852028639618,16.706443914081145,0.0,5.011933174224343,11.813842482100238,813,6.888068880688807,11.31611316113161,14.145141451414514,0.0,7.380073800738007,9.22509225092251,731,3.6935704514363885,3.009575923392613,15.731874145006842,0.0,6.019151846785226,8.618331053351573,09,-29.042414140126954
