Wahlkreis,swing_BSW,swing_AfD,swing_FDP,swing_Die Linke,swing_SPD,swing_CDU,swing_GRÜNE,swing_CSU,swing_FREIE WÄHLER
133,-0.37425054834045884,4.962818899989535,-1.7203390963608276,5.089080729905862,2.2975566378919674,-2.277220496346721,-0.7473765725601504,0.0,-0.18452000107765182
134,-0.27146082364633384,4.957823965763902,-1.6830820105172912,4.605991811532772,2.1227789922633478,-1.8345675247011235,-0.7636553951747007,0.0,-0.26910601759195163
135,-0.3433194645154864,4.4981657209422155,-1.8072452341866063,4.989682367620614,2.607264417897791,-1.744092636032389,-0.7700755908606491,0.0,-0.17973987568634564
136,-0.20214259455281994,4.988751700319682,-1.457172835897133,5.293865897697906,2.5000099292102673,-2.821841492220625,-0.751915120773584,0.0,-0.19527380024086427
137,-0.2168571596213051,3.8382269577543497,-2.181159020673697,6.711690048871274,2.989364957783762,-0.8651000195008687,-0.95318683215138,0.0,-0.23900105412468578
138,-0.2232522311265326,4.555205524644145,-1.852482620841163,5.3071405236936116,2.565195626342433,-1.6290642605388872,-1.0238140934406925,0.0,-0.18077407229926237
139,-0.3267989694006301,3.1730359137210566,-2.850983403285859,8.211274694008814,3.013551969087036,1.1385889543953738,-1.8144006354084823,0.0,-0.23986713411666882
140,-0.21615283751592862,3.7204216205145793,-2.3452364538489534,7.388010609178671,2.9592916781943313,-0.35792916513640155,-1.5532659493163288,0.0,-0.17877147019581888
141,-0.190371451885901,3.7081376384313525,-1.5845949363238605,7.587622968758881,2.683832681035412,-0.3300799337316533,-1.6642846560375908,0.0,-0.0986142405380259
142,-0.190371451885901,3.7081376384313525,-1.5845949363238605,7.587622968758882,2.683832681035412,-0.3300799337316533,-1.6642846560375908,0.0,-0.0986142405380259
143,-0.4984768232905653,4.023925984726868,-2.0596335380340767,5.1887981714375995,2.486945949806159,0.07087944736683217,-1.1873233537651418,0.0,-0.21808471964896764
144,-0.2197240553620675,3.5878428266320497,-2.0456175925773907,7.688571391349233,3.4029386103552586,-0.4515877819357629,-1.51651972614414,0.0,-0.19419481175703304
145,-0.3548928660988935,5.030500601631944,-1.5932413380927681,4.555618629389815,2.2914340264005375,-2.8365869965053756,-0.5564624798917981,0.0,-0.16457168910668124
146,-0.4120530105390935,4.343014967428648,-1.817856841869787,4.636991081470154,2.250352786316015,-1.717808117684958,-0.44247571152411797,0.0,-0.18384974395126732
147,-0.39351794975818255,4.8988779173051835,-1.8471432575592677,5.3888427088635735,2.564340033682579,-2.251820227430151,-0.6874690086711116,0.0,-0.18832228022003686
148,-0.36690441617091957,4.720302688491307,-1.7098708574085424,4.765670616055245,2.534512897043561,-1.9509995323350982,-0.7033611284410596,0.0,-0.22386234667108143
149,-0.32785007138746697,4.687855939484937,-1.9231627583887796,5.332938891892118,2.1913414289415214,-1.5494564055603588,-0.5776488535166272,0.0,-0.23359839147214218
150,-2.8057191541041617,5.217700337373156,0.8975542763599738,4.179095482678868,1.248163134950312,-2.7513150400636026,0.4786094003156002,0.0,-0.45116254737102734
151,-3.1558400567050406,3.718132461843808,0.10492909624074448,12.064736878210994,1.0827573290592554,-0.0461946147066569,-0.0026804243881493,0.0,-0.2206881905487913
152,-3.15584005670504,3.718132461843808,0.1049290962407445,12.064736878210995,1.0827573290592554,-0.0461946147066569,-0.0026804243881493,0.0,-0.2206881905487913
153,-3.9321991112417605,5.844793413925221,0.8903274824034787,4.83043943064308,1.4161211278515615,-2.522314134128215,0.6365896749706944,0.0,-0.17713760286043823
154,-3.0835392919130737,5.551288058139094,1.3617335086669065,4.630427877484742,1.6247645823871841,-2.6377029944454597,0.6647439561787166,0.0,-0.9613326980212572
155,-3.2445181986857046,6.2995550376007685,1.2334914692488848,4.44032002707995,1.4641849513027312,-3.7227803994450364,0.5548483618341509,0.0,-0.8974003296741456
156,-3.2776638292351588,6.3498405930489366,1.2687049503416232,4.3762876435865525,1.9714465861076202,-3.777002332819036,0.5541674328545388,0.0,-0.808732121604684
157,-3.6615181487450537,7.0459106611253866,1.2242955650975464,4.3151573791197695,1.3332358085586515,-2.9750265289531117,0.6457759932612787,0.0,-1.4343784226746663
158,-2.54468301695546,4.372626967588168,0.4569308319368317,9.795365093628856,0.6938470849696294,-0.7152083715144713,1.4682629532833555,0.0,-0.9559341079381173
159,-2.6132110376009625,4.678073665981492,0.5517816432902751,9.048222514904218,0.8294643489584299,-1.0668675071128373,1.389881875828601,0.0,-1.0179069940608414
160,-4.109399801754691,6.482478164625898,1.0041751764505837,4.2304823197083445,1.8199683423378263,-2.3305318694613253,0.7526794254808596,0.0,-1.1831891759520519
161,-4.450201508426842,4.470184887583741,0.4270383180857915,6.82724430903052,1.743388125276189,-0.5454675900043924,0.4465685551433171,0.0,-0.3051645221791663
